Sensor 1 - T in °C, Sensor 1 - rH in %, Sensor 2 - T in °C, Sensor 2 - rH in %, Sensor 3 - T in °C, Sensor 3 - rH in %, Sensor 4 - T in °C, Sensor 4 - rH in %, Sensor 5 - T in °C, Sensor 5 - rH in %, Sensor 6 - T in °C, Sensor 6 - rH in %, Sensor 7 - T in °C, Sensor 7 - rH in %, Sensor 8 - T in °C, Sensor 8 - rH in %, Sensor 9 - T in °C, Sensor 9 - rH in %, Sensor 10 - T in °C, Sensor 10 - rH in %, Sensor 11 - T in °C, Sensor 11 - rH in %, Sensor 12 - T in °C, Sensor 12 - rH in %
25.99,53.97, 25.65,54.16, 25.71,53.56, 25.72,56.06, 25.78,56.27, 25.67,53.04, 25.49,53.41, 25.62,53.19, 25.54,53.12, 24.90,54.00, 24.70,53.30, 25.00,51.40
26.34,53.11, 25.90,53.69, 25.98,53.17, 25.35,55.68, 25.45,55.90, 25.26,52.76, 25.11,53.49, 25.29,53.04, 25.18,52.82, 24.20,54.70, 24.10,53.50, 24.30,51.70
26.12,52.48, 25.77,52.88, 25.85,52.28, 24.70,53.88, 24.73,54.20, 24.43,51.26, 24.17,51.83, 24.48,51.11, 24.32,51.17, 23.40,53.70, 23.40,51.90, 23.50,50.60
25.56,50.00, 25.28,50.15, 25.32,49.88, 23.74,50.90, 23.75,51.29, 23.17,48.85, 22.67,49.92, 23.20,48.70, 23.03,48.79, 21.90,51.60, 22.20,49.50, 22.10,48.70
24.93,47.81, 24.69,48.23, 24.68,48.06, 23.15,49.09, 23.15,49.47, 22.59,47.03, 22.08,48.14, 22.65,46.73, 22.56,46.63, 21.00,50.40, 21.50,48.00, 21.30,47.60
24.48,45.86, 24.25,46.15, 24.22,46.00, 22.92,47.43, 22.91,47.88, 22.47,45.16, 22.05,45.81, 22.44,44.78, 22.36,44.61, 20.90,48.60, 21.20,46.50, 21.10,46.10
24.26,43.52, 24.07,43.77, 24.03,43.58, 22.92,45.41, 22.94,45.77, 22.66,42.64, 22.47,42.69, 22.66,42.24, 22.63,41.93, 21.30,45.60, 21.50,44.00, 21.40,43.60
24.21,41.32, 24.03,41.54, 24.00,41.33, 22.99,43.47, 23.03,43.82, 22.88,40.19, 22.79,39.98, 22.89,39.81, 22.87,39.47, 21.90,42.30, 22.00,41.50, 21.90,40.90
24.21,39.46, 24.04,39.68, 24.03,39.44, 23.02,41.62, 23.05,41.94, 22.95,38.13, 22.94,37.88, 22.99,37.80, 23.02,37.43, 22.30,39.80, 22.30,39.20, 22.20,38.60
24.21,37.89, 24.06,38.09, 24.05,37.86, 23.02,40.02, 23.08,40.35, 23.00,36.51, 23.00,36.23, 23.03,36.22, 23.03,35.89, 22.40,37.80, 22.50,37.60, 22.30,36.80
24.20,36.58, 24.04,36.76, 24.04,36.57, 22.99,38.82, 23.04,39.04, 22.97,35.31, 22.97,34.97, 22.99,34.90, 22.97,34.61, 22.40,36.40, 22.50,36.30, 22.40,35.50
24.09,35.66, 23.94,35.82, 23.93,35.64, 22.74,37.53, 22.81,37.79, 22.63,34.17, 22.53,33.83, 22.67,33.66, 22.61,33.39, 22.00,35.20, 22.30,35.00, 22.10,34.30
23.89,35.78, 23.74,35.99, 23.73,35.88, 22.52,37.98, 22.55,38.23, 22.32,34.77, 22.10,34.74, 22.30,34.33, 22.28,34.13, 21.40,35.90, 21.80,35.60, 21.50,34.90
23.73,35.31, 23.59,35.47, 23.57,35.36, 22.44,37.69, 22.49,38.00, 22.32,34.43, 22.15,34.31, 22.30,34.06, 22.30,33.77, 21.30,35.70, 21.70,35.50, 21.50,34.70
23.64,35.13, 23.51,35.30, 23.48,35.18, 22.39,37.60, 22.44,37.92, 22.30,34.29, 22.19,34.13, 22.28,33.91, 22.26,33.63, 21.40,35.50, 21.70,35.40, 21.50,34.60
23.57,35.00, 23.43,35.16, 23.40,35.04, 22.30,37.53, 22.35,37.82, 22.22,34.22, 22.12,34.01, 22.22,33.81, 22.22,33.56, 21.40,35.20, 21.70,35.30, 21.50,34.30
23.42,35.36, 23.28,35.58, 23.25,35.47, 22.05,37.93, 22.13,38.22, 21.88,34.64, 21.73,34.61, 21.92,34.24, 21.88,34.00, 21.10,35.50, 21.50,35.40, 21.20,34.60
23.13,36.10, 22.96,36.33, 22.92,36.24, 21.59,38.43, 21.62,38.76, 21.26,35.37, 21.01,35.45, 21.36,34.82, 21.30,34.63, 20.30,36.30, 20.90,35.80, 20.60,35.00
